Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
ERR950168_2_val_2	(50, 89767.0)	(52, 104285.0)	(54, 108341.0)	(56, 120681.0)	(58, 127937.0)	(60, 150438.0)	(62, 154147.0)	(64, 171431.0)	(66, 180426.0)	(68, 219967.0)	(70, 252942.0)	(72, 251615.0)	(74, 283136.0)	(76, 282136.0)	(78, 309188.0)	(80, 421165.0)	(82, 347852.0)	(84, 381847.0)	(86, 436159.0)	(88, 456423.0)	(90, 566093.0)	(92, 656301.0)	(94, 874285.0)	(96, 1194580.0)	(98, 3541957.0)	(100, 12186692.0)
ERR950169_1_val_1	(50, 129681.0)	(52, 151480.0)	(54, 164536.0)	(56, 200896.0)	(58, 226286.0)	(60, 268902.0)	(62, 287056.0)	(64, 329282.0)	(66, 361416.0)	(68, 410086.0)	(70, 504151.0)	(72, 548012.0)	(74, 584913.0)	(76, 670090.0)	(78, 661360.0)	(80, 702246.0)	(82, 750956.0)	(84, 831916.0)	(86, 959778.0)	(88, 1020773.0)	(90, 1152007.0)	(92, 1278877.0)	(94, 1618008.0)	(96, 2197564.0)	(98, 4430469.0)	(100, 10698944.0)
ERR950169_2_val_2	(50, 131623.0)	(52, 142811.0)	(54, 142302.0)	(56, 162026.0)	(58, 182285.0)	(60, 213443.0)	(62, 217569.0)	(64, 244261.0)	(66, 270571.0)	(68, 309733.0)	(70, 365747.0)	(72, 389380.0)	(74, 430527.0)	(76, 471688.0)	(78, 457999.0)	(80, 525434.0)	(82, 503711.0)	(84, 545227.0)	(86, 646580.0)	(88, 673138.0)	(90, 780164.0)	(92, 899144.0)	(94, 1170939.0)	(96, 1633840.0)	(98, 4233941.0)	(100, 15395602.0)
ERR950170_1_val_1	(50, 97283.0)	(52, 117301.0)	(54, 135103.0)	(56, 148090.0)	(58, 170429.0)	(60, 203758.0)	(62, 210079.0)	(64, 243229.0)	(66, 264765.0)	(68, 293543.0)	(70, 385478.0)	(72, 357971.0)	(74, 403432.0)	(76, 445027.0)	(78, 486441.0)	(80, 534570.0)	(82, 555324.0)	(84, 626198.0)	(86, 717219.0)	(88, 811178.0)	(90, 922712.0)	(92, 1066884.0)	(94, 1400861.0)	(96, 1882502.0)	(98, 3937922.0)	(100, 10883498.0)
ERR950170_2_val_2	(50, 117190.0)	(52, 127479.0)	(54, 132216.0)	(56, 138891.0)	(58, 158760.0)	(60, 180911.0)	(62, 182341.0)	(64, 206902.0)	(66, 222199.0)	(68, 247766.0)	(70, 314974.0)	(72, 278987.0)	(74, 318881.0)	(76, 322323.0)	(78, 347110.0)	(80, 425959.0)	(82, 379734.0)	(84, 432530.0)	(86, 515922.0)	(88, 538078.0)	(90, 645835.0)	(92, 771969.0)	(94, 1025675.0)	(96, 1465697.0)	(98, 3919455.0)	(100, 13883013.0)
ERR950171_1_val_1	(50, 157930.0)	(52, 180390.0)	(54, 202243.0)	(56, 233200.0)	(58, 256930.0)	(60, 293216.0)	(62, 306639.0)	(64, 352225.0)	(66, 388141.0)	(68, 429982.0)	(70, 513821.0)	(72, 515150.0)	(74, 588421.0)	(76, 631139.0)	(78, 688536.0)	(80, 750458.0)	(82, 797018.0)	(84, 900879.0)	(86, 1036190.0)	(88, 1127672.0)	(90, 1263957.0)	(92, 1504206.0)	(94, 1907474.0)	(96, 2648273.0)	(98, 5433988.0)	(100, 14495794.0)
ERR950171_2_val_2	(50, 176948.0)	(52, 186750.0)	(54, 194112.0)	(56, 210534.0)	(58, 231655.0)	(60, 251953.0)	(62, 258772.0)	(64, 292716.0)	(66, 320451.0)	(68, 352211.0)	(70, 398870.0)	(72, 389512.0)	(74, 455964.0)	(76, 451898.0)	(78, 496144.0)	(80, 644016.0)	(82, 541822.0)	(84, 585639.0)	(86, 689804.0)	(88, 741054.0)	(90, 867603.0)	(92, 1071954.0)	(94, 1389376.0)	(96, 1989816.0)	(98, 5477308.0)	(100, 18936990.0)
ERR950172_1_val_1	(50, 98632.0)	(52, 124710.0)	(54, 129063.0)	(56, 137983.0)	(58, 144295.0)	(60, 167376.0)	(62, 161549.0)	(64, 178495.0)	(66, 201153.0)	(68, 219628.0)	(70, 257066.0)	(72, 269528.0)	(74, 313084.0)	(76, 311336.0)	(78, 324165.0)	(80, 375297.0)	(82, 395092.0)	(84, 452100.0)	(86, 538162.0)	(88, 561856.0)	(90, 649016.0)	(92, 792393.0)	(94, 1033542.0)	(96, 1522847.0)	(98, 3505392.0)	(100, 9529317.0)
ERR950172_2_val_2	(50, 119600.0)	(52, 139196.0)	(54, 140223.0)	(56, 146119.0)	(58, 154188.0)	(60, 176688.0)	(62, 168796.0)	(64, 184645.0)	(66, 202607.0)	(68, 223047.0)	(70, 249561.0)	(72, 266439.0)	(74, 316881.0)	(76, 296319.0)	(78, 328590.0)	(80, 453338.0)	(82, 341313.0)	(84, 371718.0)	(86, 445486.0)	(88, 472050.0)	(90, 557920.0)	(92, 681609.0)	(94, 845867.0)	(96, 1123038.0)	(98, 3118995.0)	(100, 10868844.0)
ERR950173_1_val_1	(50, 31998.0)	(52, 38780.0)	(54, 44099.0)	(56, 47458.0)	(58, 53728.0)	(60, 63911.0)	(62, 65751.0)	(64, 75725.0)	(66, 84910.0)	(68, 95649.0)	(70, 120415.0)	(72, 120068.0)	(74, 139868.0)	(76, 154145.0)	(78, 163776.0)	(80, 196896.0)	(82, 211141.0)	(84, 233786.0)	(86, 287635.0)	(88, 323712.0)	(90, 415485.0)	(92, 532969.0)	(94, 810700.0)	(96, 1249047.0)	(98, 3204816.0)	(100, 10168441.0)
ERR950173_2_val_2	(50, 44195.0)	(52, 47119.0)	(54, 51207.0)	(56, 52839.0)	(58, 58913.0)	(60, 67409.0)	(62, 70702.0)	(64, 79585.0)	(66, 85514.0)	(68, 102084.0)	(70, 118849.0)	(72, 111562.0)	(74, 128852.0)	(76, 128332.0)	(78, 143939.0)	(80, 193952.0)	(82, 169043.0)	(84, 189612.0)	(86, 233123.0)	(88, 262905.0)	(90, 322966.0)	(92, 395055.0)	(94, 551255.0)	(96, 847084.0)	(98, 2788006.0)	(100, 11690807.0)
ERR950174_1_val_1	(50, 53037.0)	(52, 64748.0)	(54, 76003.0)	(56, 81244.0)	(58, 88233.0)	(60, 112543.0)	(62, 111298.0)	(64, 124279.0)	(66, 145647.0)	(68, 167174.0)	(70, 215705.0)	(72, 214400.0)	(74, 236393.0)	(76, 267935.0)	(78, 281780.0)	(80, 329878.0)	(82, 348185.0)	(84, 382082.0)	(86, 486322.0)	(88, 543280.0)	(90, 658949.0)	(92, 801174.0)	(94, 1157209.0)	(96, 1713492.0)	(98, 4093137.0)	(100, 11280589.0)
ERR950174_2_val_2	(50, 58540.0)	(52, 64577.0)	(54, 72183.0)	(56, 75967.0)	(58, 83792.0)	(60, 98513.0)	(62, 100669.0)	(64, 112486.0)	(66, 128429.0)	(68, 158465.0)	(70, 177770.0)	(72, 176674.0)	(74, 201278.0)	(76, 205767.0)	(78, 243281.0)	(80, 352414.0)	(82, 275928.0)	(84, 301596.0)	(86, 364778.0)	(88, 399697.0)	(90, 492374.0)	(92, 598218.0)	(94, 814913.0)	(96, 1211072.0)	(98, 3682505.0)	(100, 13582830.0)
ERR950175_1_val_1	(50, 80868.0)	(52, 115330.0)	(54, 104061.0)	(56, 131198.0)	(58, 152057.0)	(60, 205476.0)	(62, 196571.0)	(64, 220961.0)	(66, 244288.0)	(68, 276521.0)	(70, 333899.0)	(72, 361258.0)	(74, 403041.0)	(76, 440720.0)	(78, 483621.0)	(80, 530191.0)	(82, 565471.0)	(84, 631836.0)	(86, 748565.0)	(88, 824487.0)	(90, 972917.0)	(92, 1064976.0)	(94, 1409355.0)	(96, 1883351.0)	(98, 3823935.0)	(100, 10198764.0)
ERR950175_2_val_2	(50, 103533.0)	(52, 125018.0)	(54, 101953.0)	(56, 118640.0)	(58, 136180.0)	(60, 177926.0)	(62, 168293.0)	(64, 178474.0)	(66, 195822.0)	(68, 227103.0)	(70, 251817.0)	(72, 270095.0)	(74, 309110.0)	(76, 313015.0)	(78, 359334.0)	(80, 468393.0)	(82, 384801.0)	(84, 432995.0)	(86, 532798.0)	(88, 549367.0)	(90, 691023.0)	(92, 781532.0)	(94, 1067591.0)	(96, 1492579.0)	(98, 3954995.0)	(100, 13011331.0)
ERR950176_1_val_1	(50, 98578.0)	(52, 125326.0)	(54, 119650.0)	(56, 127081.0)	(58, 140190.0)	(60, 184848.0)	(62, 163666.0)	(64, 189367.0)	(66, 226649.0)	(68, 276908.0)	(70, 496793.0)	(72, 326213.0)	(74, 349920.0)	(76, 404518.0)	(78, 371808.0)	(80, 448263.0)	(82, 414597.0)	(84, 497964.0)	(86, 594329.0)	(88, 644447.0)	(90, 803851.0)	(92, 836777.0)	(94, 1176922.0)	(96, 1448059.0)	(98, 3013925.0)	(100, 9535287.0)
