Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
ERR950168_1_val_1	(20.0, 31.0)	(21.0, 208.0)	(22.0, 1357.0)	(23.0, 6089.0)	(24.0, 20077.0)	(25.0, 51302.0)	(26.0, 107653.0)	(27.0, 195999.0)	(28.0, 314087.0)	(29.0, 460408.0)	(30.0, 630300.0)	(31.0, 833500.0)	(32.0, 1096095.0)	(33.0, 1475528.0)	(34.0, 2090218.0)	(35.0, 3165204.0)	(36.0, 5113966.0)	(37.0, 5791368.0)	(38.0, 2087548.0)	(39.0, 428519.0)	(40.0, 334.0)								
ERR950168_2_val_2	(15.0, 10.0)	(16.0, 34.0)	(17.0, 136.0)	(18.0, 325.0)	(19.0, 693.0)	(20.0, 2918.0)	(21.0, 7435.0)	(22.0, 14571.0)	(23.0, 25490.0)	(24.0, 41764.0)	(25.0, 65181.0)	(26.0, 97672.0)	(27.0, 140547.0)	(28.0, 197398.0)	(29.0, 272452.0)	(30.0, 377966.0)	(31.0, 523388.0)	(32.0, 741334.0)	(33.0, 1082063.0)	(34.0, 1667890.0)	(35.0, 2613916.0)	(36.0, 4402567.0)	(37.0, 5881014.0)	(38.0, 4615539.0)	(39.0, 1088252.0)	(40.0, 9236.0)			
ERR950169_1_val_1	(18.0, 1.0)	(19.0, 5.0)	(20.0, 32.0)	(21.0, 344.0)	(22.0, 2400.0)	(23.0, 10613.0)	(24.0, 33021.0)	(25.0, 82182.0)	(26.0, 171016.0)	(27.0, 307541.0)	(28.0, 497738.0)	(29.0, 744366.0)	(30.0, 1068059.0)	(31.0, 1507315.0)	(32.0, 2114609.0)	(33.0, 2880791.0)	(34.0, 3735566.0)	(35.0, 4660436.0)	(36.0, 5661195.0)	(37.0, 5177973.0)	(38.0, 2061127.0)	(39.0, 423026.0)	(40.0, 329.0)						
ERR950169_2_val_2	(14.0, 11.0)	(15.0, 25.0)	(16.0, 87.0)	(17.0, 338.0)	(18.0, 881.0)	(19.0, 1905.0)	(20.0, 6682.0)	(21.0, 16065.0)	(22.0, 31790.0)	(23.0, 56270.0)	(24.0, 92739.0)	(25.0, 144177.0)	(26.0, 213577.0)	(27.0, 302561.0)	(28.0, 412377.0)	(29.0, 546204.0)	(30.0, 712852.0)	(31.0, 925379.0)	(32.0, 1209894.0)	(33.0, 1622072.0)	(34.0, 2277762.0)	(35.0, 3295943.0)	(36.0, 5179397.0)	(37.0, 6851733.0)	(38.0, 5660408.0)	(39.0, 1559159.0)	(40.0, 19397.0)		
ERR950170_1_val_1	(18.0, 1.0)	(19.0, 1.0)	(20.0, 37.0)	(21.0, 388.0)	(22.0, 2535.0)	(23.0, 11522.0)	(24.0, 36027.0)	(25.0, 88933.0)	(26.0, 181939.0)	(27.0, 323443.0)	(28.0, 513126.0)	(29.0, 751073.0)	(30.0, 1040539.0)	(31.0, 1410070.0)	(32.0, 1898732.0)	(33.0, 2520043.0)	(34.0, 3216882.0)	(35.0, 3964312.0)	(36.0, 4733672.0)	(37.0, 4539909.0)	(38.0, 1774144.0)	(39.0, 293175.0)	(40.0, 294.0)						
ERR950170_2_val_2	(14.0, 5.0)	(15.0, 9.0)	(16.0, 70.0)	(17.0, 267.0)	(18.0, 641.0)	(19.0, 1681.0)	(20.0, 9390.0)	(21.0, 25488.0)	(22.0, 51820.0)	(23.0, 91008.0)	(24.0, 143656.0)	(25.0, 213145.0)	(26.0, 299217.0)	(27.0, 400522.0)	(28.0, 519733.0)	(29.0, 658208.0)	(30.0, 825215.0)	(31.0, 1024048.0)	(32.0, 1282319.0)	(33.0, 1628697.0)	(34.0, 2136256.0)	(35.0, 2861726.0)	(36.0, 4111110.0)	(37.0, 5575760.0)	(38.0, 4421253.0)	(39.0, 1010030.0)	(40.0, 9523.0)		
ERR950171_1_val_1	(19.0, 1.0)	(20.0, 31.0)	(21.0, 390.0)	(22.0, 2593.0)	(23.0, 11983.0)	(24.0, 38839.0)	(25.0, 98185.0)	(26.0, 203927.0)	(27.0, 368191.0)	(28.0, 592719.0)	(29.0, 880595.0)	(30.0, 1253301.0)	(31.0, 1739937.0)	(32.0, 2407040.0)	(33.0, 3270334.0)	(34.0, 4274087.0)	(35.0, 5387584.0)	(36.0, 6736510.0)	(37.0, 6846325.0)	(38.0, 2962822.0)	(39.0, 527956.0)	(40.0, 522.0)							
ERR950171_2_val_2	(13.0, 1.0)	(14.0, 3.0)	(15.0, 18.0)	(16.0, 93.0)	(17.0, 366.0)	(18.0, 884.0)	(19.0, 1968.0)	(20.0, 8539.0)	(21.0, 22282.0)	(22.0, 46180.0)	(23.0, 81670.0)	(24.0, 132660.0)	(25.0, 203552.0)	(26.0, 295790.0)	(27.0, 409041.0)	(28.0, 549384.0)	(29.0, 718662.0)	(30.0, 925756.0)	(31.0, 1187257.0)	(32.0, 1533313.0)	(33.0, 2019291.0)	(34.0, 2757657.0)	(35.0, 3853702.0)	(36.0, 5867605.0)	(37.0, 8247704.0)	(38.0, 6958317.0)	(39.0, 1764511.0)	(40.0, 17666.0)	
ERR950172_1_val_1	(18.0, 1.0)	(19.0, 1.0)	(20.0, 20.0)	(21.0, 191.0)	(22.0, 1290.0)	(23.0, 6379.0)	(24.0, 20058.0)	(25.0, 51530.0)	(26.0, 106476.0)	(27.0, 189943.0)	(28.0, 301936.0)	(29.0, 436778.0)	(30.0, 589659.0)	(31.0, 770814.0)	(32.0, 998605.0)	(33.0, 1319015.0)	(34.0, 1820100.0)	(35.0, 2677798.0)	(36.0, 4209152.0)	(37.0, 5419804.0)	(38.0, 2856155.0)	(39.0, 616108.0)	(40.0, 1264.0)						
ERR950172_2_val_2	(12.0, 1.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 11.0)	(16.0, 39.0)	(17.0, 186.0)	(18.0, 595.0)	(19.0, 1309.0)	(20.0, 5023.0)	(21.0, 12414.0)	(22.0, 24837.0)	(23.0, 43777.0)	(24.0, 71335.0)	(25.0, 108118.0)	(26.0, 158893.0)	(27.0, 221648.0)	(28.0, 299302.0)	(29.0, 394643.0)	(30.0, 514510.0)	(31.0, 665615.0)	(32.0, 868693.0)	(33.0, 1156438.0)	(34.0, 1588792.0)	(35.0, 2255881.0)	(36.0, 3465590.0)	(37.0, 5034430.0)	(38.0, 4339198.0)	(39.0, 1148568.0)	(40.0, 13228.0)
ERR950173_1_val_1	(19.0, 1.0)	(20.0, 35.0)	(21.0, 201.0)	(22.0, 1198.0)	(23.0, 5359.0)	(24.0, 17247.0)	(25.0, 42361.0)	(26.0, 87041.0)	(27.0, 155916.0)	(28.0, 247093.0)	(29.0, 357606.0)	(30.0, 485247.0)	(31.0, 632521.0)	(32.0, 823273.0)	(33.0, 1097068.0)	(34.0, 1536661.0)	(35.0, 2310542.0)	(36.0, 3844471.0)	(37.0, 5082021.0)	(38.0, 2010631.0)	(39.0, 198273.0)	(40.0, 143.0)							
