Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR950175_1	ERR950175_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28140024.0	2.8 Gbp	0.0	101.0	44.0	75.26447109597369	101.0	101	pass	fail	warn	pass	warn	warn	warn	pass	pass	warn	warn
ERR950176_1	ERR950176_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25155300.0	2.5 Gbp	0.0	101.0	43.0	40.99429171314561	101.0	101	pass	fail	warn	pass	fail	fail	warn	pass	fail	warn	fail
ERR950177_1	ERR950177_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23796570.0	2.4 Gbp	0.0	101.0	44.0	26.055270675453574	101.0	101	pass	fail	warn	pass	warn	warn	pass	pass	fail	fail	fail
ERR950178_1	ERR950178_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26360829.0	2.6 Gbp	0.0	101.0	42.0	56.62538507644732	101.0	101	pass	fail	warn	pass	warn	pass	pass	pass	warn	fail	fail
ERR950179_1	ERR950179_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17671067.0	1.7 Gbp	0.0	101.0	43.0	45.576772694203235	101.0	101	pass	fail	warn	pass	warn	pass	pass	pass	fail	fail	fail
ERR950180_1	ERR950180_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33175781.0	3.3 Gbp	0.0	101.0	43.0	48.68171676560193	101.0	101	pass	fail	warn	pass	warn	pass	pass	pass	fail	fail	fail
ERR950181_1	ERR950181_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25892706.0	2.6 Gbp	0.0	101.0	44.0	74.2000810317894	101.0	101	pass	fail	warn	pass	warn	warn	warn	pass	pass	warn	fail
ERR950182_1	ERR950182_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25653760.0	2.5 Gbp	0.0	101.0	44.0	39.328977983568144	101.0	101	pass	fail	warn	pass	warn	warn	pass	pass	fail	fail	warn
ERR950183_1	ERR950183_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29335427.0	2.7 Gbp	0.0	25-101	43.0	52.4169993298184	92.87668679579814	98	pass	pass	pass	pass	warn	pass	pass	warn	warn	warn	fail
ERR950184_1	ERR950184_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25232188.0	2.5 Gbp	0.0	101.0	45.0	77.73148644307831	101.0	101	pass	fail	warn	pass	warn	pass	warn	pass	pass	warn	fail
ERR950185_1	ERR950185_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23865721.0	2.4 Gbp	0.0	101.0	43.0	50.91558220318898	101.0	101	pass	fail	warn	pass	warn	pass	pass	pass	warn	warn	fail
ERR950186_1	ERR950186_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27746271.0	2.8 Gbp	0.0	101.0	44.0	74.80536903768835	101.0	101	pass	fail	warn	pass	warn	warn	warn	pass	pass	warn	fail
ERR950187_1	ERR950187_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25368011.0	2.5 Gbp	0.0	101.0	47.0	25.998288522620154	101.0	101	pass	fail	warn	pass	warn	warn	pass	pass	fail	fail	warn
